month,App Development ,Audio and Visual,Beta Testing,Bug Reporting ,Compatibility Issues,Control Issues,Controller,Cross-platform,Customization,Cybersickness,Educational Use,Environment & Interface.,Game Elements,Graphics Optimization,Hardware Optimization,Horror Game ,IOS Development,Implementation Challenges,Input Methods,Installation and Setup,Interaction Mechanics,Layout Challenges,Multiplayer,Object Tracking,Parallel Rendering ,Physics & Hardware,Player Interaction,Rendering Issues,Safety ,Server Management,Streaming and Mapping,Support Challenges,Technical Challenges,Testing Requirements,Tools Limitation,Troubleshooting,UE Issues
2016-09,55,37,38,96,30,32,54,71,116,30,70,30,49,35,24,28,28,32,31,28,40,55,30,34,41,53,40,26,54,32,38,41,36,37,40,40,34
2016-10,43,56,35,83,35,38,50,80,121,43,49,34,39,40,30,33,27,51,46,40,47,57,20,38,37,57,50,35,55,46,35,33,45,33,51,38,57
2016-11,59,42,40,82,48,29,51,71,112,47,78,40,71,36,27,39,40,45,51,39,40,67,40,51,44,39,47,37,64,58,41,51,55,43,42,50,45
2016-12,93,86,60,149,58,95,141,122,241,101,135,58,130,112,62,49,76,97,66,75,67,110,74,63,73,109,64,57,138,116,76,69,106,61,99,96,96
2017-01,52,61,60,137,60,63,128,96,172,93,100,34,87,66,48,51,62,78,55,63,54,81,55,41,99,71,64,64,99,80,52,66,81,54,73,61,97
2017-02,54,56,42,116,48,58,91,87,143,57,77,29,77,60,41,40,59,48,53,50,63,84,46,45,57,65,40,54,95,67,47,53,97,43,62,60,73
2017-03,75,82,44,125,59,86,115,118,165,89,109,42,107,67,57,61,74,76,75,56,76,117,64,57,104,76,74,70,126,99,76,56,121,48,90,78,100
2017-04,58,65,39,84,58,53,64,70,132,65,72,34,79,60,37,34,53,53,62,33,59,81,44,75,46,50,41,38,91,72,34,52,69,44,60,55,70
2017-05,54,44,46,57,48,48,77,77,136,56,45,37,56,60,29,51,56,42,41,38,48,62,42,54,49,69,64,42,86,62,42,58,50,44,56,55,59
2017-06,54,54,37,78,47,36,60,61,132,61,77,50,57,49,33,50,65,44,63,32,42,57,27,48,32,47,62,36,42,72,30,41,42,30,63,39,42
2017-07,57,76,45,110,74,56,100,107,193,45,115,47,69,54,42,52,56,77,56,67,62,67,41,48,66,76,59,68,78,67,34,45,113,43,88,57,63
2017-08,33,47,59,70,59,48,54,86,140,33,91,25,65,56,23,39,54,31,49,51,35,52,28,62,36,65,42,47,76,64,46,43,63,39,58,62,56
2017-09,45,42,37,66,43,34,46,64,110,31,62,31,56,39,14,25,42,29,37,32,37,35,32,42,33,50,42,28,50,59,45,24,34,33,47,52,60
2017-10,53,39,36,65,62,45,51,79,127,42,58,20,58,33,27,34,37,31,38,46,40,27,26,32,38,57,35,24,62,35,26,48,35,33,45,49,43
2017-11,30,24,25,44,48,30,34,84,79,21,70,21,35,33,24,28,31,24,39,26,29,32,14,29,23,37,41,23,36,42,35,29,38,21,45,49,39
2017-12,47,30,56,68,75,49,59,95,161,45,82,27,46,44,24,39,33,36,50,33,29,51,32,60,59,68,60,49,55,82,30,36,44,26,49,61,50
2018-01,58,52,66,71,68,49,37,99,146,50,102,36,46,47,24,33,55,45,67,38,29,51,29,65,30,73,48,53,61,45,24,42,32,48,74,66,57
2018-02,39,27,43,43,32,27,35,44,97,38,42,28,34,41,10,20,31,36,31,18,26,44,18,22,22,34,37,45,57,36,24,28,25,36,40,32,28
2018-03,50,26,50,47,50,40,42,69,118,35,70,36,34,49,19,36,40,35,55,19,22,42,26,37,29,37,47,39,40,49,29,48,31,35,51,44,46
2018-04,51,36,37,73,58,58,44,72,184,45,95,36,41,53,32,41,53,30,73,35,39,44,28,47,28,41,65,53,59,51,30,38,37,39,81,40,70
2018-05,44,39,48,72,58,56,43,90,145,38,83,42,34,61,41,40,36,35,58,32,36,47,18,44,35,40,45,49,54,45,45,54,26,27,82,46,57
2018-06,55,27,44,57,35,39,38,50,135,34,64,24,46,38,18,48,40,26,40,38,21,53,22,46,31,41,32,27,48,32,29,30,28,33,68,42,51
2018-07,55,45,48,54,35,52,53,62,127,31,61,31,38,69,33,35,34,27,50,36,44,49,35,52,34,37,43,41,65,62,37,40,28,23,61,40,45
2018-08,52,43,53,51,48,50,26,81,129,43,64,32,47,59,26,32,30,25,35,43,34,65,29,41,39,39,52,35,52,48,41,30,29,39,66,53,54
2018-09,35,36,34,76,27,35,39,59,125,47,58,29,47,64,23,31,37,30,56,32,36,50,36,47,36,49,60,36,56,70,33,30,30,38,73,47,62
2018-10,55,67,37,92,42,58,31,64,165,45,126,36,39,67,34,40,64,54,63,36,43,53,35,59,50,65,46,44,61,78,42,27,36,50,99,62,53
2018-11,58,37,41,71,42,38,54,56,152,28,89,45,52,56,21,36,30,39,63,22,33,45,19,45,35,45,60,52,56,51,41,36,27,26,80,37,42
2018-12,52,37,39,54,29,45,47,59,105,33,59,24,36,47,20,18,24,28,37,30,31,37,26,35,44,41,47,34,47,32,35,33,13,39,42,52,43
2019-01,45,33,38,51,38,42,41,57,127,36,80,24,48,48,21,32,35,25,48,30,38,33,27,45,25,37,56,28,46,51,42,29,24,24,66,34,47
2019-02,36,39,41,54,33,41,24,62,86,35,42,28,27,41,20,21,38,25,50,25,23,43,27,33,13,27,41,27,32,50,35,33,26,31,54,40,35
2019-03,48,23,31,49,18,46,30,27,92,29,50,27,43,54,12,25,22,19,34,30,25,37,38,35,32,35,60,34,40,54,21,31,25,20,83,40,20
2019-04,48,30,30,49,41,40,23,43,96,19,60,32,19,50,15,23,48,14,55,42,22,36,18,22,26,36,56,23,33,48,32,30,27,31,60,43,24
2019-05,53,41,42,73,32,35,28,57,101,30,51,22,34,46,16,28,24,18,44,50,31,40,22,46,34,51,48,51,45,51,40,43,15,29,65,54,39
2019-06,73,53,66,98,39,68,33,72,139,30,81,42,41,73,31,32,35,35,60,62,28,70,32,50,43,60,68,40,67,86,54,33,32,31,76,48,55
2019-07,60,57,59,65,37,37,38,72,112,45,66,40,49,62,29,24,33,36,54,49,45,63,31,45,52,36,52,43,53,74,41,33,26,39,77,48,56
2019-08,73,51,54,74,32,44,19,54,121,43,53,46,32,78,22,15,30,22,43,57,42,46,27,24,44,50,42,46,54,81,37,29,20,29,54,57,57
2019-09,39,34,50,55,23,40,19,53,97,26,44,31,25,44,20,33,26,23,34,47,30,38,16,30,25,54,47,28,50,59,48,27,21,22,64,56,43
2019-10,77,59,69,85,48,72,47,81,155,33,73,45,65,90,28,46,31,39,45,58,35,70,32,57,51,60,81,59,51,80,65,39,41,25,87,86,61
2019-11,64,31,61,67,32,56,37,76,122,25,61,28,56,57,22,33,39,30,57,49,34,45,24,35,28,42,88,41,59,67,41,29,23,18,93,64,42
2019-12,71,60,49,125,53,60,52,85,165,45,89,49,53,73,40,39,43,28,69,36,51,81,32,57,41,60,68,72,64,59,59,49,28,29,125,90,58
2020-01,63,60,67,111,60,52,50,77,182,59,92,56,64,75,34,58,55,45,58,58,43,57,39,54,51,72,75,46,66,67,52,49,21,42,105,74,69
2020-02,46,41,49,88,46,57,39,60,104,30,76,36,63,82,34,32,39,34,45,38,33,63,26,41,44,51,62,54,64,50,48,43,41,41,62,51,48
2020-03,78,84,65,144,52,53,52,62,166,26,70,44,72,118,22,38,53,42,90,66,49,71,46,53,82,66,111,41,60,68,39,64,44,29,77,64,68
2020-04,97,70,92,109,54,65,49,74,176,57,79,41,53,124,26,49,66,52,88,72,54,75,52,52,86,68,92,47,63,88,48,77,31,31,99,62,59
2020-05,58,53,49,108,49,59,29,78,109,48,59,30,43,68,31,48,28,42,76,51,42,64,38,57,45,55,73,36,54,70,55,51,30,30,98,58,44
2020-06,41,28,37,66,23,45,23,41,78,24,46,35,33,45,11,37,27,18,44,33,24,38,33,32,33,45,55,32,53,52,39,31,23,12,52,40,39
2020-07,50,36,62,51,26,35,30,59,97,32,38,30,41,63,20,15,20,25,64,32,25,43,35,46,39,34,51,39,43,46,51,23,16,29,64,48,35
2020-08,43,36,57,84,42,31,34,51,115,34,45,32,48,81,24,16,23,25,47,44,34,49,47,47,20,46,31,30,56,51,39,43,32,34,58,35,43
2020-09,40,39,44,42,23,42,31,51,71,28,34,32,39,40,23,18,23,27,39,37,35,49,38,43,43,39,55,28,30,48,36,46,23,22,54,36,30
2020-10,66,50,62,91,36,55,44,66,97,32,61,26,47,59,27,38,36,32,53,42,37,58,35,51,45,45,59,39,53,57,58,29,39,27,78,48,53
2020-11,33,33,31,47,29,40,21,39,69,28,37,34,33,60,24,19,12,29,48,32,32,36,22,31,27,38,43,24,41,54,28,20,17,28,52,31,33
2020-12,33,40,49,68,30,50,38,37,84,43,39,29,49,99,20,12,25,25,41,36,31,40,37,42,31,48,56,26,39,61,25,30,18,23,75,36,27
2021-01,36,47,43,57,28,44,15,44,99,23,39,26,40,56,16,20,31,22,31,38,37,31,31,30,29,44,42,24,39,36,36,26,20,25,82,41,19
2021-02,33,23,24,40,21,26,21,27,69,20,33,18,31,36,13,10,26,26,30,24,22,37,19,21,25,38,33,27,20,35,28,18,11,10,37,31,17
2021-03,46,30,41,61,38,23,25,57,66,38,42,20,36,42,18,17,32,34,44,20,20,39,20,29,41,46,56,31,22,41,33,34,21,19,53,57,43
2021-04,26,28,23,46,18,31,14,30,58,21,31,25,37,20,10,11,18,16,30,23,14,27,13,20,24,22,38,21,37,31,25,19,10,9,30,29,24
2021-05,47,29,20,56,26,34,15,32,76,22,47,32,29,29,17,25,29,14,25,26,25,33,17,22,23,25,36,21,36,39,26,21,18,16,42,38,25
2021-06,35,27,42,65,35,32,25,50,89,34,55,27,37,28,10,28,47,24,52,26,16,40,15,34,33,38,50,27,37,36,29,17,23,20,69,68,37
2021-07,30,32,27,54,21,45,25,65,85,34,49,37,35,62,33,34,20,32,34,20,26,38,23,35,34,37,43,34,40,31,20,21,24,32,56,34,35
2021-08,27,42,37,38,30,37,15,55,75,31,30,35,29,38,37,29,22,25,42,27,27,38,22,32,26,36,39,26,43,32,37,33,19,27,47,49,27
2021-09,36,24,26,40,19,41,14,36,68,23,38,18,33,39,21,24,26,30,34,13,26,48,21,27,34,32,34,22,37,26,33,24,18,9,57,25,37
2021-10,26,31,46,47,20,32,28,56,67,31,34,19,40,49,22,24,19,25,43,25,30,36,18,37,46,43,51,23,43,44,29,28,28,11,63,38,27
2021-11,32,50,42,65,30,33,26,44,96,31,51,17,43,48,42,27,38,40,30,33,25,56,25,30,36,34,51,37,57,53,30,42,29,26,72,43,35
2021-12,33,36,34,48,32,34,34,58,81,27,39,25,23,42,27,22,38,25,41,31,29,34,27,29,28,30,37,28,58,31,39,28,27,15,54,51,23
2022-01,34,27,36,56,24,29,32,35,81,28,24,17,42,49,27,26,23,17,27,29,35,40,13,24,27,39,32,24,52,52,34,32,17,21,84,37,31
2022-02,30,29,20,57,25,23,19,33,66,32,44,17,31,32,24,19,24,13,29,25,28,43,23,31,19,47,36,23,37,36,33,24,18,27,51,44,30
2022-03,25,39,31,46,27,34,23,41,82,27,40,24,39,27,21,23,33,22,28,13,27,40,19,21,36,24,32,22,29,29,28,27,25,27,49,24,34
2022-04,24,30,15,36,18,24,9,41,66,15,31,11,25,27,17,13,23,18,18,19,17,38,18,19,18,24,19,22,27,26,37,23,12,11,50,45,37
2022-05,36,20,30,51,16,21,17,22,78,34,36,18,15,32,31,24,23,17,35,27,25,36,12,23,21,30,33,33,32,30,41,21,23,18,56,43,28
2022-06,23,29,17,44,19,28,20,22,56,20,20,16,16,22,13,13,21,12,27,20,19,25,20,12,19,21,31,20,35,33,17,20,17,8,42,26,25
2022-07,15,28,19,30,16,18,15,30,57,20,23,16,25,27,11,18,28,25,23,17,21,38,12,13,14,26,20,19,27,33,25,22,7,12,38,38,21
2022-08,28,14,19,38,14,10,21,21,55,18,24,18,37,35,12,18,18,10,15,20,24,22,12,18,24,36,30,20,20,41,22,22,11,25,33,20,17
2022-09,27,15,21,30,16,24,12,23,60,18,26,18,19,25,15,13,17,11,23,13,12,21,23,21,24,25,24,23,24,25,18,19,11,10,33,26,17
2022-10,26,28,24,51,17,26,23,36,90,24,57,27,26,27,26,26,21,21,33,20,27,42,20,34,12,17,40,28,28,29,25,12,13,24,52,47,19
2022-11,40,33,33,44,17,35,32,44,110,35,47,33,35,31,27,18,37,27,34,27,28,32,27,30,17,38,45,31,41,34,34,20,22,21,69,51,42
2022-12,26,35,28,36,19,23,16,36,49,30,38,8,21,37,21,21,25,23,19,14,20,25,19,16,18,22,27,15,34,34,28,17,12,17,51,34,29
2023-01,32,48,33,41,22,32,31,49,96,31,42,21,30,40,23,20,25,26,35,17,19,35,17,16,31,31,41,34,40,33,32,30,23,17,58,39,18
2023-02,30,41,23,46,28,39,12,45,72,29,39,17,19,28,17,20,30,18,44,17,22,28,22,20,21,23,31,14,37,29,30,20,16,18,52,42,17
2023-03,43,39,28,45,26,37,28,23,83,39,35,27,34,36,25,32,37,27,29,23,31,34,19,28,26,41,33,32,37,46,35,36,18,32,57,44,29
2023-04,32,35,30,52,30,33,13,52,85,36,39,31,29,41,29,34,30,27,36,34,28,41,25,25,31,36,43,27,43,39,39,34,22,27,62,53,29
2023-05,42,37,16,61,14,36,20,48,77,28,39,26,31,39,28,18,30,21,33,28,24,46,22,23,26,38,52,27,49,41,42,25,23,21,52,48,33
2023-06,33,41,31,71,28,32,23,44,68,31,33,15,42,36,25,26,29,33,32,18,15,36,19,30,18,26,31,18,39,34,29,23,18,39,57,32,40
2023-07,28,24,31,68,23,34,19,50,79,28,33,15,34,41,18,21,25,14,23,35,19,31,28,17,25,29,24,27,34,38,33,28,27,18,47,36,30
2023-08,28,25,38,55,19,24,27,51,75,30,31,18,32,32,18,25,33,20,26,19,31,27,28,21,18,37,34,25,39,35,19,29,18,19,54,37,26
2023-09,24,24,19,47,18,26,20,37,63,24,26,18,24,34,14,14,21,20,23,19,16,37,10,26,19,28,23,24,27,34,28,19,16,24,37,32,26
2023-10,41,34,22,60,22,28,21,44,79,30,49,30,42,40,18,27,20,27,34,29,23,27,13,25,24,38,41,23,35,43,34,32,16,21,59,42,25
2023-11,34,43,36,56,25,23,28,62,117,24,39,33,39,43,29,23,31,27,35,26,37,38,31,31,26,34,32,24,56,47,45,29,17,26,65,59,46
2023-12,21,31,17,33,23,22,17,56,67,22,40,11,29,38,8,15,22,13,29,15,31,26,13,23,25,30,22,23,25,28,25,20,11,25,38,34,19
2024-01,38,32,32,33,21,15,16,29,80,20,30,19,21,22,13,25,23,16,25,20,29,20,9,23,16,35,36,17,25,42,24,22,23,19,37,39,28
2024-02,31,44,28,35,20,35,23,50,90,31,34,29,29,33,41,26,43,17,23,24,25,32,19,25,25,32,28,24,34,40,31,21,17,20,50,52,29
2024-03,34,38,21,48,19,26,34,35,90,22,38,19,29,31,18,18,35,14,28,22,24,15,20,23,28,28,42,21,38,58,37,22,13,27,59,43,26
2024-04,43,45,40,53,33,41,25,57,107,45,48,23,36,41,42,41,40,26,34,27,34,48,31,40,27,59,44,36,66,46,39,29,19,29,58,59,41
2024-05,37,31,29,53,25,37,26,42,88,21,40,31,30,30,19,22,39,25,12,25,47,29,22,21,27,36,41,36,33,36,36,26,17,28,55,44,33
2024-06,30,55,41,73,33,37,22,66,112,44,58,33,42,44,19,23,49,28,33,28,36,39,26,28,21,49,43,32,52,30,46,28,21,33,72,74,38
2024-07,6,13,9,18,4,13,6,15,26,3,9,9,13,6,7,9,13,11,6,4,2,11,10,11,4,11,11,6,15,9,8,6,3,7,19,7,9
